ID,Wrestler,Date,Show,Location,Reign,Days,Description
CHAMP 001,Buddy Rogers,4/11/63,House show,"Washington, D.C.",1,36,"Won a fictional tournament in Rio de Janeiro after the WWWF left the National Wrestling Alliance (NWA), of which Rogers had been the 7th NWA World Heavyweight Champion since defeating Pat O'Connor on June 30, 1961. After Rogers' one fall loss to Lou Thesz for the title on January 24, 1963, Northeast promoters (led by Vince McMahon Sr. and Toots Mondt) did not recognize this title change and withdrew their membership from the NWA to form the World Wide Wrestling Federation (WWWF). The WWWF billed Rogers as their world champion since January 25, 1963, but it did not recognize him as the first ever WWWF World Heavyweight Champion until April 11, 1963, when he received the title belt. However, WWE lists Rogers' reign and the establishment of the title beginning on April 25, 1963."
CHAMP 002,Bruno Sammartino,5/17/63,House show,"New York, NY",1,"2,803",No description provided
CHAMP 003,Ivan Koloff,1/18/71,House show,"New York, NY",1,21,No description provided
CHAMP 004,Pedro Morales,2/8/71,House show,"New York, NY",1,"1,027",The title was renamed the WWWF Heavyweight Championship when the WWWF rejoined the NWA in 1971.
CHAMP 005,Stan Stasiak,12/1/73,House show,"Philadelphia, PA",1,9,No description provided
CHAMP 006,Bruno Sammartino,12/10/73,House show,"New York, NY",2,"1,237",No description provided
CHAMP 007,Superstar Billy Graham,4/30/77,House show,"Baltimore, MD",1,296,No description provided
CHAMP 008,Bob Backlund,2/20/78,House show,"New York, NY",1,648,The title was renamed the WWF Heavyweight Championship when the WWWF became the World Wrestling Federation (WWF) in March 1979 for marketing purposes.
CHAMP 009,Antonio Inoki,11/30/79,House show,"Tokushima, Japan",1,6,No description provided
CHAMP 010,Vacated,12/6/79,House show,"Tokyo, Japan",0,0,Antonio Inoki immediately vacated the title after a title defense rematch with Bob Backlund ended in a no contest due to the interference of New Japan Pro-Wrestling's Tiger Jeet Singh.
CHAMP 011,Bob Backlund,12/17/79,House show,"New York City, NY",2,672,Backlund defeated Bobby Duncum in a Texas death match to fill the vacancy. WWE recognizes Backlund's first and second reigns as being uninterrupted and considers this a continuation of the first.
CHAMP 012,Vacated,10/19/81,House show,"New York City, NY",0,0,"Vacated due to Greg Valentine being awarded the title by a stunned referee despite Backlund winning the match. WWE has acknowledged the incident, albeit it still recognizes Backlund's first reign as being uninterrupted, lasting from February 20, 1978 to December 26, 1983 for a total of 2,135 days."
CHAMP 013,Bob Backlund,11/23/81,House show,"New York City, NY",3,763,"Backlund defeated Greg Valentine in a rematch to end the controversy. Both the vacancy and Backlund win over Valentine are not recognized by WWE, albeit it has been acknowledged."
CHAMP 014,The Iron Sheik,12/26/83,House show,"New York City, NY",1,28,The Iron Sheik won by submission when Bob Backlund's manager Arnold Skaaland threw in the towel when Backlund was put into Sheik's camel clutch to prevent any major injury. The title was renamed the WWF World Heavyweight Championship when the WWF ended its affiliation with the NWA.
CHAMP 015,Hulk Hogan,1/23/84,House show,"New York City, NY",1,"1,474",No description provided
CHAMP 016,Andrew the Giant,2/5/88,The Main Event I,"Indianapolis, IN",1,1,"Andr_ the Giant defeated Hulk Hogan when referee Earl Hebner, who was bribed by Ted DiBiase, scored the three-count despite Hogan raising his shoulder at the one-count."
CHAMP 017,Ted DiBiase,2/5/88,The Main Event I,"Indianapolis, IN",1,8,"Immediately after winning the title from Hulk Hogan, Andr_ the Giant handed the championship belt to Ted DiBiase, but WWF President Jack Tunney ruled this as vacating the title and therefore DiBiase's reign is not recognized by WWE, albeit he was announced as such in the following days and even defended the title once against Bam Bam Bigelow in a February 8, 1988 live event."
CHAMP 018,Vacated,2/13/88,Superstars of Wrestling,"Hershey, PA",0,0,"WWF President Jack Tunney refused to recognize Ted DiBiase as champion and vacated the title. WWE recognizes the vacancy as starting on February 5, 1988, the date of the controversy, rather than the date in which the announcement was made in a video aired on tape delay on February 13, 1988."
CHAMP 019,Randy Savage,3/27/88,WrestleMania IV,"Atlantic City, NJ",1,371,Defeated Ted DiBiase in a tournament final to win the vacant title.
CHAMP 020,Hulk Hogan,4/2/89,WrestleMania V,"Atlantic City, NJ",2,364,The title was renamed the WWF Championship in July 1989.
CHAMP 021,The Ultimate Warrior,4/1/90,WrestleMania VI,"Toronto, ON",1,293,This was a title vs. title match in which Warrior also defended the Intercontinental Championship.
CHAMP 022,Sgt. Slaughter,1/19/91,Royal Rumble,"Miami, FL",1,64,No description provided
CHAMP 023,Hulk Hogan,3/24/91,WrestleMania VII,"Los Angeles, CA",3,248,No description provided
CHAMP 024,The Undertaker,11/27/91,Survivor Series,"Detroit, MI",1,6,No description provided
